"stimulus (pA)" "response 1 (mV)" "response 2 (mV)" "response 3 (mV)"
0 -65.13976 -66.93114 -66.067508
0 -65.10925 -66.94335 -66.055305
0 -65.1367 -66.96777 -66.073618
0 -65.12755 -66.9342 -66.058357
0 -65.155 -66.9403 -66.067525
0 -65.1489 -66.9342 -66.070567
0 -65.1367 -66.92809 -66.064448
0 -65.16723 -66.91588 -66.052247
0 -65.18554 -66.89756 -66.058336
0 -65.17027 -66.92504 -66.067498
0 -65.14282 -66.90672 -66.055297
0 -65.15808 -66.92197 -66.064457
0 -65.18858 -66.93114 -66.070559
0 -65.15502 -66.91281 -66.091937
0 -65.17943 -66.9128 -66.101087
0 -65.15196 -66.95556 -66.088878
0 -65.15807 -66.94334 -66.101087
0 -65.13975 -66.91893 -66.104133
0 -65.16113 -66.95861 -66.091937
0 -65.15806 -66.9281 -66.052238
0 -65.14586 -66.91284 -66.043087
0 -65.13975 -66.90977 -66.070574
0 -65.17027 -66.92505 -66.079716
0 -65.16416 -66.9342 -66.110248
0 -65.11535 -66.9006 -66.125489
0 -65.13365 -66.92506 -66.128546
0 -65.13365 -66.90673 -66.094975
0 -65.1306 -66.91891 -66.085816
0 -65.13671 -66.90977 -66.110238
0 -65.16417 -66.90672 -66.110246
0 -65.16417 -66.91588 -66.08886
0 -65.1184 -66.90062 -66.07665
0 -65.15502 -66.93114 -66.033937
0 -65.13976 -66.91892 -66.046138
0 -65.16112 -66.96778 -66.058356
0 -65.16112 -66.91588 -66.064457
0 -65.15501 -66.96168 -66.073633
0 -65.17333 -66.93421 -66.076657
0 -65.14892 -66.92197 -66.104137
0 -65.14585 -66.93419 -66.070558
0 -65.16417 -66.9464 -66.094978
0 -65.18859 -66.92503 -66.046147
0 -65.18248 -66.92808 -66.061406
0 -65.21912 -66.92808 -66.061416
0 -65.18859 -66.91283 -66.055288
0 -65.17637 -66.92504 -66.058347
0 -65.17637 -66.90672 -66.070565
0 -65.18249 -66.8945 -66.064457
0 -65.18248 -66.87316 -66.064457
0 -65.1947 -66.90366 -66.058357
0 -65.2008 -66.90977 -66.036995
0 -65.1947 -66.93724 -66.070573
0 -65.2069 -66.91283 -66.046147
0 -65.22217 -66.91891 -66.073608
0 -65.18249 -66.89757 -66.073616
0 -65.19469 -66.91892 -66.061387
0 -65.17028 -66.92808 -66.073608
0 -65.17638 -66.88538 -66.058357
0 -65.19163 -66.89756 -66.101078
0 -65.19775 -66.93419 -66.107189
0 -65.17027 -66.93723 -66.101078
0 -65.19469 -66.91893 -66.076657
0 -65.18859 -66.87925 -66.055297
0 -65.19774 -66.90366 -66.073617
0 -65.17638 -66.90977 -66.070564
0 -65.16417 -66.91282 -66.070563
0 -65.17943 -66.93419 -66.058346
0 -65.17639 -66.93114 -66.070557
0 -65.19164 -66.89757 -66.073606
0 -65.19468 -66.90978 -66.049188
0 -65.19164 -66.89452 -66.076674
0 -65.19469 -66.89451 -66.055288
0 -65.17637 -66.8945 -66.043087
0 -65.18859 -66.9067 -66.058347
0 -65.17942 -66.8823 -66.043087
0 -65.17026 -66.864 -66.018668
0 -65.16112 -66.8579 -66.052245
0 -65.18249 -66.8518 -66.043078
0 -65.17333 -66.8335 -66.058373
0 -65.16111 -66.8518 -66.033919
0 -65.1428 -66.87925 -66.015609
0 -65.16112 -66.87926 -66.024777
0 -65.17027 -66.87315 -66.021737
0 -65.13975 -66.87926 -66.027809
0 -65.13975 -66.86705 -66.024778
0 -65.15806 -66.85485 -66.00645
0 -65.15196 -66.86705 -66.040038
0 -65.12451 -66.87925 -66.067499
0 -65.13975 -66.92505 -66.058348
0 -65.16417 -66.91894 -66.052227
0 -65.17639 -66.91281 -66.052245
0 -65.13365 -66.89757 -66.067515
0 -65.16416 -66.89453 -66.055299
0 -65.14891 -66.91282 -66.101086
0 -65.1367 -66.89146 -66.082778
0 -65.13672 -66.88231 -66.076658
0 -65.17028 -66.91283 -66.055288
0 -65.16417 -66.90673 -66.049198
0 -65.15196 -66.94337 -66.055306
0 -65.1489 -66.91282 -66.040036
0 -65.1245 -66.88536 -66.040038
0 -65.13061 -66.8701 -66.049189
0 -65.14281 -66.90368 -66.085818
0 -65.14586 -66.90062 -66.049196
0 -65.17026 -66.88841 -66.058346
0 -65.16111 -66.87621 -66.049188
0 -65.15501 -66.90673 -66.085835
0 -65.16418 -66.93115 -66.046138
0 -65.1886 -66.8701 -66.064466
0 -65.21911 -66.87315 -66.046137
0 -65.20996 -66.87011 -66.049196
0 -65.1947 -66.85181 -66.064456
0 -65.19775 -66.8762 -66.079726
0 -65.21606 -66.84875 -66.079716
0 -65.19775 -66.88535 -66.064458
0 -65.18247 -66.864 -66.03697
0 -65.20691 -66.8579 -66.073625
0 -65.16111 -66.8579 -66.040027
0 -65.14586 -66.8396 -66.055297
0 -65.155 -66.864 -66.067516
0 -65.13672 -66.86705 -66.040018
0 -65.12145 -66.8762 -66.049189
0 -65.13671 -66.84875 -66.088876
0 -65.13061 -66.87011 -66.030877
0 -65.15807 -66.86705 -66.055304
0 -65.14585 -66.86095 -66.052238
0 -65.1123 -66.86096 -66.0156
0 -65.13366 -66.8762 -66.024786
0 -65.13365 -66.88841 -66.021727
0 -65.16418 -66.87925 -66.003409
0 -65.19164 -66.90367 -66.0034
0 -65.17943 -66.8762 -66.0156
0 -65.17331 -66.86705 -66.021728
0 -65.17333 -66.85485 -65.997309
0 -65.19164 -66.87925 -66.006459
0 -65.18859 -66.8518 -65.997318
0 -65.19774 -66.864 -66.0034
